ObjectName,FramesSeen,FirstFrame,LastFrame,PathLen,MaxStep,StartX,StartY,StartZ,EndX,EndY,EndZ,VisFrames,MedRendererSizeProd,Level,Type,Active,HasRenderer,HasCollider,StartEndDisp,VisRatio,Importance
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,8,1,8,150.16242150097895,43.64983192407504,0.809,3.024,-0.297,-13.786,2.163,9.974,8,0.10528558599999999,3,Mesh,True,True,False,17.86753444099101,1.0,230.95169220687495
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Cockpit_LDoor_Geo,8,1,8,150.289077100405,43.67209124830181,0.268,1.616,0.107,-15.098,1.317,9.936,8,0.0794646,4,Mesh,True,True,False,18.243152085097577,1.0,229.78452514510155
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,8,1,8,149.24056131206873,43.56850280879526,0.81,0.89,0.0,-15.115,0.515,10.372,8,0.10314646699999999,4,Mesh,True,True,False,19.00854108026179,1.0,229.4227216296983
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Body_RDoorGlass_Geo,8,1,8,149.24056131206873,43.56850280879526,0.81,0.89,0.0,-15.115,0.515,10.372,8,0.10314646699999999,4,Mesh,True,True,False,19.00854108026179,1.0,229.4227216296983
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,8,1,8,148.82434420127964,43.50205222745244,1.339,1.617,0.107,-14.499,1.038,10.78,8,0.0794646,4,Mesh,True,True,False,19.107339270552558,1.0,227.54502138219624
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,8,1,8,149.5922347146245,43.56141491044569,0.803,1.763,0.382,-14.894,1.432,10.51,8,0.050346471,3,Mesh,True,True,False,18.68372965978688,1.0,227.16083386833162
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,8,1,8,149.54187485793904,43.542751991577205,0.806,1.586,0.643,-15.153,1.408,10.689,8,0.04703895,3,Mesh,True,True,False,18.85851216294647,1.0,226.9053781605253
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,8,1,8,150.71128542646437,44.043484989269416,0.542,2.033,-2.236,-13.227,0.524,8.696,8,0.002361512,3,Mesh,True,True,False,17.645709563517133,1.0,226.20027505100205
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,8,1,8,150.7006129078607,43.97169234860082,0.542,2.084,-2.236,-13.213,0.48,8.672,8,0.002361512,3,Mesh,True,True,False,17.62830976015568,1.0,226.18425683022446
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,8,1,8,150.42007857956233,43.96782139246838,0.743,2.062,-2.237,-13.108,0.446,8.84,8,0.004133975999999999,3,Mesh,True,True,False,17.80903102361271,1.0,225.8629446150285
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,8,1,8,149.42835643835625,43.551402755824064,0.803,1.35,0.39,-15.12,1.089,10.557,8,0.017168848,3,Mesh,True,True,False,18.893859822704307,1.0,225.09846915136546
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,8,1,8,149.7897721238261,43.5801467069582,0.529,1.218,0.659,-15.515,1.179,10.518,8,0.00114636,3,Mesh,True,True,False,18.831126838296218,1.0,224.74902289910818
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,8,1,8,149.79911595514452,43.56282544785174,0.661,1.689,0.782,-15.267,1.598,10.648,8,1.62e-06,3,Mesh,True,True,False,18.736259525316147,1.0,224.6987649356244
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,8,1,8,149.69722190947323,43.55359825548287,0.708,1.596,0.769,-15.282,1.502,10.687,8,1.62e-06,3,Mesh,True,True,False,18.81636681190075,1.0,224.5459238052169
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,8,1,8,149.6207476468514,43.55955780308152,0.647,1.218,0.659,-15.449,1.148,10.612,8,0.0015022605000000002,3,Mesh,True,True,False,18.92480713243863,1.0,224.51536253030116
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,8,1,8,149.60733183092213,43.54767724000902,0.746,1.524,0.722,-15.269,1.409,10.696,8,2.55e-07,3,Mesh,True,True,False,18.867276592025675,1.0,224.41101205258295
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,8,1,8,149.59926620638197,43.55080411427555,0.746,1.518,0.655,-15.23,1.371,10.656,8,2.55e-07,3,Mesh,True,True,False,18.848718417972083,1.0,224.39891361500145
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,8,1,8,149.41127193260962,43.517005813819495,0.948,1.689,0.782,-15.106,1.523,10.875,8,1.62e-06,3,Mesh,True,True,False,18.963837190821902,1.0,224.116998666207
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,8,1,8,149.19364467363835,43.510941371108025,0.958,1.217,0.66,-15.276,1.066,10.857,8,0.0014950340000000001,3,Mesh,True,True,False,19.171446632948697,1.0,223.87406374682217
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,8,1,8,149.04001730343458,43.49524021085526,1.077,1.218,0.658,-15.208,1.035,10.95,8,0.0011394195,3,Mesh,True,True,False,19.26551265863434,1.0,223.62368092620977
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,8,1,8,150.71367972225454,44.0034926568335,0.537,2.062,-2.237,-13.223,0.5,8.678,5,0.0875756295,3,Mesh,False,True,False,17.6327725840266,0.625,173.14902990164006
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,8,1,8,150.71367972225454,44.0034926568335,0.537,2.062,-2.237,-13.223,0.5,8.678,5,0.0875756295,3,Mesh,False,True,False,17.6327725840266,0.625,173.14902990164006
