FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,"[-19.148,39.678,7.469]","[344.094,207.711,333.555]","[0.274,0.443,0.315]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,"[-15.120,1.089,10.557]","[331.438,313.803,342.709]","[0.366,0.437,0.211]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,"[0.647,1.218,0.659]","[0.000,0.000,0.000]","[0.108,0.094,0.072]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,"[0.777,0.906,0.676]","[0.003,9.894,359.982]","[0.119,0.094,0.089]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,"[-19.099,39.705,7.135]","[344.094,207.711,333.555]","[0.150,0.147,0.134]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,"[-15.449,1.148,10.612]","[331.438,313.803,342.709]","[0.156,0.141,0.138]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,"[0.529,1.218,0.659]","[0.000,0.000,0.000]","[0.108,0.108,0.042]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,"[0.660,0.906,0.697]","[0.003,9.894,359.982]","[0.114,0.108,0.060]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,"[-18.999,39.756,7.099]","[344.094,207.711,333.555]","[0.141,0.150,0.114]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,"[-15.515,1.179,10.518]","[331.438,313.803,342.709]","[0.144,0.138,0.121]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,"[0.661,1.689,0.782]","[0.000,0.000,0.000]","[0.004,0.024,0.004]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,"[0.811,1.377,0.795]","[0.003,9.894,359.982]","[0.004,0.024,0.005]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,"[-19.297,40.138,7.235]","[344.094,207.711,333.555]","[0.012,0.023,0.015]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,"[-15.267,1.598,10.648]","[331.438,313.803,342.709]","[0.017,0.023,0.008]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,"[0.948,1.689,0.782]","[0.000,0.000,0.000]","[0.004,0.024,0.004]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,"[1.095,1.377,0.745]","[0.003,9.894,359.982]","[0.004,0.024,0.005]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,"[-19.541,40.016,7.324]","[344.094,207.711,333.555]","[0.012,0.023,0.015]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,"[-15.106,1.523,10.875]","[331.438,313.803,342.709]","[0.017,0.023,0.008]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,"[0.708,1.596,0.769]","[0.000,0.000,0.000]","[0.004,0.024,0.004]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,"[0.856,1.284,0.774]","[0.003,9.894,359.982]","[0.004,0.024,0.005]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,"[-19.306,40.035,7.222]","[344.094,207.711,333.555]","[0.012,0.023,0.015]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,"[-15.282,1.502,10.687]","[331.438,313.803,342.709]","[0.017,0.023,0.008]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,"[0.746,1.524,0.722]","[0.000,0.000,0.000]","[0.002,0.002,0.015]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,"[0.885,1.212,0.721]","[0.003,9.894,359.982]","[0.005,0.002,0.015]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,"[-19.297,39.943,7.243]","[344.094,207.711,333.555]","[0.009,0.007,0.014]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,"[-15.269,1.409,10.696]","[331.438,313.803,342.709]","[0.012,0.010,0.011]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,"[0.746,1.518,0.655]","[0.000,0.000,0.000]","[0.002,0.002,0.015]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,"[0.874,1.206,0.655]","[0.003,9.894,359.982]","[0.005,0.002,0.015]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,"[-19.265,39.920,7.297]","[344.094,207.711,333.555]","[0.009,0.007,0.014]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,"[-15.230,1.371,10.656]","[331.438,313.803,342.709]","[0.012,0.010,0.011]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,"[0.806,1.586,0.643]","[0.000,0.000,0.000]","[0.179,0.378,0.313]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,"[0.931,1.274,0.633]","[0.003,9.894,359.982]","[0.230,0.378,0.340]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,"[-19.330,39.950,7.354]","[344.094,207.711,333.555]","[0.398,0.488,0.483]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,"[-15.153,1.408,10.689]","[331.438,313.803,342.709]","[0.501,0.514,0.370]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,"[0.958,1.217,0.660]","[0.000,0.000,0.000]","[0.108,0.093,0.072]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,"[1.084,0.905,0.623]","[0.003,9.894,359.982]","[0.119,0.094,0.089]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,"[-19.363,39.571,7.231]","[344.094,207.711,333.555]","[0.150,0.147,0.134]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,"[-15.276,1.066,10.857]","[331.438,313.803,342.709]","[0.156,0.141,0.138]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,"[1.077,1.218,0.658]","[0.000,0.000,0.000]","[0.108,0.108,0.041]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,"[1.201,0.906,0.602]","[0.003,9.894,359.982]","[0.114,0.108,0.059]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,"[-19.464,39.521,7.269]","[344.094,207.711,333.555]","[0.141,0.151,0.114]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,"[-15.208,1.035,10.950]","[331.438,313.803,342.709]","[0.144,0.139,0.121]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,"[0.803,0.882,0.244]","[0.000,0.000,0.000]","[1.550,1.206,2.056]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,"[0.859,0.570,0.240]","[0.003,9.894,359.982]","[1.880,1.207,2.291]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,"[-18.952,39.235,7.395]","[344.094,207.711,333.555]","[2.574,2.266,2.740]",[]
