ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",PhaseTimeline (Motion phases with approximate relative durations),PathTrace (Downsampled key positions along the trajectory),MaxSpeedEvent (Notable peak speed moment),LargestVerticalChangeEvent (Notable vertical excursion),DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description from core stats)",SemanticRole (Heuristic high-level role: Player/Enemy/Projectile/etc.),InteractionSummary (Close-approach / touch events with other objects),"NarrativeSummary (Compact narrative description using motion, phases & interactions)"
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,Mesh,1,17,"[0.542,2.033,-2.236]","[2.992,1.176,-3.453]",27.678119667014588,2.8667120539042634,1.7298824791884118,1.0,grow,tiny,STILL_MID;STILL_MID;STILL_MID;ASCEND_MID;HORIZ_HIGH;ASCEND_MID,STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.25;ASCEND_MID:0.06;STILL_MID:0.06;HORIZ_MID:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_MID:0.12;ASCEND_MID:0.06,"f1:[0.542,2.033,-2.236];f2:[0.542,2.029,-2.236];f3:[0.542,1.160,-2.236];f5:[0.542,1.206,-2.261];f6:[0.542,1.188,-2.266];f8:[0.542,1.216,-2.249];f9:[0.542,1.215,-2.222];f11:[-0.385,7.650,-0.975];f12:[1.109,13.005,-2.412];f14:[0.970,10.603,-2.735];f15:[2.557,6.449,-3.814];f17:[2.992,1.176,-3.453]",Peak speed ~5.810 between frames 15-16.,Vertical span from 0.649 (f16) to 13.005 (f12).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves across the scene in a high region; moves upward in a mid-height region.,DynamicObject,moves close to R22_Helicopter_V2/Collider Group/Tail_COL; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.25;ASCEND_MID:0.06;STILL_MID:0.06;HORIZ_MID:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_MID:0.12;ASCEND_MID:0.06. Key positions along its path: f1:[0.542,2.033,-2.236];f2:[0.542,2.029,-2.236];f3:[0.542,1.160,-2.236];f5:[0.542,1.206,-2.261];f6:[0.542,1.188,-2.266];f8:[0.542,1.216,-2.249];f9:[0.542,1.215,-2.222];f11:[-0.385,7.650,-0.975];f12:[1.109,13.005,-2.412];f14:[0.970,10.603,-2.735];f15:[2.557,6.449,-3.814];f17:[2.992,1.176,-3.453]. It moves close to R22_Helicopter_V2/Collider Group/Tail_COL; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo. Notable moments: Peak speed ~5.810 between frames 15-16. Vertical span from 0.649 (f16) to 13.005 (f12)."
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,Mesh,1,17,"[0.743,2.062,-2.237]","[2.869,1.189,-3.614]",27.580255486973797,2.6792039862615913,2.75802554869738,1.0,grow,tiny,STILL_MID;DESCEND_MID;STILL_MID;ASCEND_MID;DESCEND_HIGH;ASCEND_MID,STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;HORIZ_MID:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.12;DESCEND_MID:0.12;ASCEND_MID:0.06,"f1:[0.743,2.062,-2.237];f2:[0.743,2.058,-2.237];f3:[0.743,1.189,-2.237];f5:[0.743,1.189,-2.237];f6:[0.743,1.189,-2.237];f8:[0.743,1.189,-2.237];f9:[0.743,1.189,-2.237];f11:[-0.414,7.610,-1.171];f12:[1.053,13.039,-2.603];f14:[0.892,10.609,-2.921];f15:[2.476,6.526,-3.984];f17:[2.869,1.189,-3.614]",Peak speed ~5.916 between frames 15-16.,Vertical span from 0.620 (f16) to 13.039 (f12).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; stays mostly still in a mid-height region; moves upward in a mid-height region.,DynamicObject,moves close to R22_Helicopter_V2/Collider Group/Tail_COL; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;HORIZ_MID:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.12;DESCEND_MID:0.12;ASCEND_MID:0.06. Key positions along its path: f1:[0.743,2.062,-2.237];f2:[0.743,2.058,-2.237];f3:[0.743,1.189,-2.237];f5:[0.743,1.189,-2.237];f6:[0.743,1.189,-2.237];f8:[0.743,1.189,-2.237];f9:[0.743,1.189,-2.237];f11:[-0.414,7.610,-1.171];f12:[1.053,13.039,-2.603];f14:[0.892,10.609,-2.921];f15:[2.476,6.526,-3.984];f17:[2.869,1.189,-3.614]. It moves close to R22_Helicopter_V2/Collider Group/Tail_COL; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast; touches R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo. Notable moments: Peak speed ~5.916 between frames 15-16. Vertical span from 0.620 (f16) to 13.039 (f12)."
Main Camera,Camera,1,17,"[-9.661,14.895,-15.276]","[-2.182,5.053,-0.833]",49.504232234269864,19.01054060251838,4.500384748569989,0.0,unknown,unknown,STILL_HIGH;HORIZ_MID;HORIZ_MID;ASCEND_HIGH;DESCEND_HIGH;DESCEND_MID,STILL_HIGH:0.06;HORIZ_MID:0.06;STILL_MID:0.38;HORIZ_MID:0.12;ASCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_MID:0.12,"f1:[-9.661,14.895,-15.276];f2:[-9.577,14.824,-15.218];f3:[0.718,5.144,-8.064];f5:[0.810,5.017,-8.000];f6:[0.810,5.017,-8.000];f8:[0.810,5.017,-8.000];f9:[0.810,5.017,-8.000];f11:[-6.385,9.018,-2.260];f12:[-4.763,16.454,-0.755];f14:[-4.915,13.849,0.427];f15:[-3.156,12.747,-1.450];f17:[-2.182,5.053,-0.833]",Peak speed ~15.839 between frames 2-3.,Vertical span from 5.017 (f4) to 16.454 (f12).,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: stays mostly still in a high region; moves across the scene in a mid-height region; moves upward in a high region; moves downward in a high region.,Camera,,"As a Camera, this object travels quickly over a long distance with almost no vertical change. Its motion phases over time: STILL_HIGH:0.06;HORIZ_MID:0.06;STILL_MID:0.38;HORIZ_MID:0.12;ASCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_HIGH:0.06;HORIZ_HIGH:0.06;DESCEND_MID:0.12. Key positions along its path: f1:[-9.661,14.895,-15.276];f2:[-9.577,14.824,-15.218];f3:[0.718,5.144,-8.064];f5:[0.810,5.017,-8.000];f6:[0.810,5.017,-8.000];f8:[0.810,5.017,-8.000];f9:[0.810,5.017,-8.000];f11:[-6.385,9.018,-2.260];f12:[-4.763,16.454,-0.755];f14:[-4.915,13.849,0.427];f15:[-3.156,12.747,-1.450];f17:[-2.182,5.053,-0.833]. Notable moments: Peak speed ~15.839 between frames 2-3. Vertical span from 5.017 (f4) to 16.454 (f12)."
R22_Helicopter_V2/Audio Group,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; moves close to R22_Helicopter_V2/COG.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; moves close to R22_Helicopter_V2/COG. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2,PhysicsBody,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Rotors_Group,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Graphics_Group/R_22_Blendshapes,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Collider Group,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Graphics_Group,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Engines,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Engines/Main Engine,Empty,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,0.0,unknown,unknown,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,Unknown,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
