ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonPrimary,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes,3,Empty,UI,False,"[34.000,-30.600,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|LayoutElement|ColorPickerButtonController|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/ValueText,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker,5,Empty,UI,False,"[16.000,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro|InteractableTextMeshPro
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/IncButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/IncButton,6,Empty,UI,False,"[30.500,-34.100,0.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/IncButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/IncButton,6,Empty,UI,False,"[33.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/IncButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker,5,Empty,UI,False,"[33.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/DecButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/DecButton,6,Empty,UI,False,"[1.500,-34.100,0.000]","[0.000,0.000,270.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/DecButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/DecButton,6,Empty,UI,False,"[-1.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker/DecButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker,5,Empty,UI,False,"[16.000,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/ValuePicker,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes,4,Empty,UI,False,"[34.000,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|StepValuePicker|NamedIntListController
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes,4,Empty,UI,False,"[-10.000,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/Clothes,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes,3,Empty,UI,False,"[-10.000,-30.600,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|LayoutElement
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel,2,Empty,UI,False,"[26.000,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonSecondary/ColorImage,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonSecondary,4,Empty,UI,False,"[45.500,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonSecondary,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair,3,Empty,UI,False,"[42.000,-23.400,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|LayoutElement|ColorPickerButtonController|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonPrimary/ColorImage,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonPrimary,4,Empty,UI,False,"[38.500,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/ColorPickerButtonPrimary,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair,3,Empty,UI,False,"[35.000,-23.400,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|LayoutElement|ColorPickerButtonController|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/ValueText,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker,5,Empty,UI,False,"[17.000,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro|InteractableTextMeshPro
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/IncButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/IncButton,6,Empty,UI,False,"[31.500,-26.900,0.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/IncButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/IncButton,6,Empty,UI,False,"[34.500,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/IncButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker,5,Empty,UI,False,"[34.500,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/DecButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/DecButton,6,Empty,UI,False,"[2.500,-26.900,0.000]","[0.000,0.000,270.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
